year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2021,W,United Kingdom,0 days 03:53:08,White,Ann,7742,70,W,13988.0,0 days 03:50:00
2021,W,Germany,0 days 04:47:20,Kim,Ae-Suk,16924,70,W,17240.0,0 days 04:40:00
2021,W,Slovakia,0 days 04:48:00,Seidlova,Eva,16997,70,W,17280.0,0 days 04:40:00
2021,W,Denmark,0 days 04:50:32,Damborg,Trine Margrethe,17345,70,W,17432.0,0 days 04:50:00
2021,W,Republic of Ireland,0 days 04:54:56,Donnelly,Patrick,17988,70,W,17696.0,0 days 04:50:00
2021,W,Germany,0 days 04:59:34,Vieten,Ursula,18612,70,W,17974.0,0 days 04:50:00
2021,W,France,0 days 05:00:47,Volpe,RÃÂ©gine,18752,70,W,18047.0,0 days 05:00:00
2021,W,Germany,0 days 05:03:35,Rausch,Helga,19011,70,W,18215.0,0 days 05:00:00
2021,W,Germany,0 days 05:06:01,Krause,Doris,19208,70,W,18361.0,0 days 05:00:00
2021,W,Germany,0 days 05:06:14,Haase,Brigitta,19232,70,W,18374.0,0 days 05:00:00
