year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2004,M,Germany,0 days 02:34:40,Embleton,Peter,103,50,M,9280.0,0 days 02:30:00
2004,M,Germany,0 days 02:41:26,Branse,Konrad,210,50,M,9686.0,0 days 02:40:00
2004,M,Norway,0 days 02:41:57,Torp,Torfinn,217,50,M,9717.0,0 days 02:40:00
2004,M,Spain,0 days 02:42:51,Pla Maravilla,Tomas,242,50,M,9771.0,0 days 02:40:00
2004,M,Germany,0 days 02:45:55,Nagowizyn,Wladimir,327,50,M,9955.0,0 days 02:40:00
2004,M,Germany,0 days 02:46:54,Jancker,Hans-Dieter,357,50,M,10014.0,0 days 02:40:00
2004,M,Germany,0 days 02:48:21,Spiess,Rudolf,420,50,M,10101.0,0 days 02:40:00
2004,M,Liechtenstein,0 days 02:48:46,Flatz,Dietmar,442,50,M,10126.0,0 days 02:40:00
2004,M,Germany,0 days 02:49:34,Seiser,Walter,486,50,M,10174.0,0 days 02:40:00
2004,M,Germany,0 days 02:50:09,Schmieg,Peter,520,50,M,10209.0,0 days 02:50:00
