year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2017,M,Australia,0 days 03:24:16,Lane,Robert,5373,70,M,12256.0,0 days 03:20:00
2017,M,Germany,0 days 03:37:09,Stanski,Franz,9003,70,M,13029.0,0 days 03:30:00
2017,M,France,0 days 03:37:26,Gless,Gerard,9078,70,M,13046.0,0 days 03:30:00
2017,M,Italy,0 days 03:40:23,Filannino,Pasquale,9989,70,M,13223.0,0 days 03:40:00
2017,M,Netherlands,0 days 03:40:28,Miert,Willi van,10002,70,M,13228.0,0 days 03:40:00
2017,M,Canada,0 days 03:41:56,Lacasse,Gilles,10419,70,M,13316.0,0 days 03:40:00
2017,M,Italy,0 days 03:42:47,Angelini,Luciano,10684,70,M,13367.0,0 days 03:40:00
2017,M,Germany,0 days 03:47:32,Ernst,Klaus,12257,70,M,13652.0,0 days 03:40:00
2017,M,Germany,0 days 03:47:52,Schlief,Hansdieter,12372,70,M,13672.0,0 days 03:40:00
2017,M,Austria,0 days 03:49:50,Lindenbauer,Rudolf,13006,70,M,13790.0,0 days 03:40:00
