year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2015,M,Germany,0 days 03:07:50,Juckel,Bernd,2702,65,M,11270.0,0 days 03:00:00
2015,M,Netherlands,0 days 03:08:20,Komlossy,Gisbert,2796,65,M,11300.0,0 days 03:00:00
2015,M,Italy,0 days 03:08:24,Gravagnone,Umberto,2812,65,M,11304.0,0 days 03:00:00
2015,M,Germany,0 days 03:11:47,KÃÂ¼hne,Martin,3327,65,M,11507.0,0 days 03:10:00
2015,M,Germany,0 days 03:13:44,Menke,Jochen,3673,65,M,11624.0,0 days 03:10:00
2015,M,Switzerland,0 days 03:16:07,Heynen,Meinrad,4072,65,M,11767.0,0 days 03:10:00
2015,M,Japan,0 days 03:20:35,Kanamura,Shizuo,4933,65,M,12035.0,0 days 03:20:00
2015,M,Norway,0 days 03:20:45,Stenhaug,Tor-Arne,4960,65,M,12045.0,0 days 03:20:00
2015,M,Denmark,0 days 03:22:09,Clemmensen,Poul,5241,65,M,12129.0,0 days 03:20:00
2015,M,Germany,0 days 03:23:57,Kretschmer,Manfred,5628,65,M,12237.0,0 days 03:20:00
