year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2004,M,Portugal,0 days 02:09:08,Jesus,Luis,5,35,M,7748.0,0 days 02:00:00
2004,M,Austria,0 days 02:22:00,Salinger,Nicolas,38,35,M,8520.0,0 days 02:20:00
2004,M,Spain,0 days 02:25:22,Perez,Luis,45,35,M,8722.0,0 days 02:20:00
2004,M,Finland,0 days 02:25:46,Kalermo,Timo-Pekka,46,35,M,8746.0,0 days 02:20:00
2004,M,France,0 days 02:28:17,Khezzane,Noreddine,59,35,M,8897.0,0 days 02:20:00
2004,M,Germany,0 days 02:28:21,Buck,Joachim,62,35,M,8901.0,0 days 02:20:00
2004,M,Germany,0 days 02:28:26,Trapp-Opitz,Holger,64,35,M,8906.0,0 days 02:20:00
2004,M,Germany,0 days 02:28:43,Herrmann,Thomas,66,35,M,8923.0,0 days 02:20:00
2004,M,France,0 days 02:29:20,Tozzi,Alexandre,68,35,M,8960.0,0 days 02:20:00
2004,M,Germany,0 days 02:31:30,Giebel,JÃÂ¶rg,76,35,M,9090.0,0 days 02:30:00
