year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2007,W,Germany,0 days 02:24:51,Mikitenko,Irina,36,35,W,8691.0,0 days 02:20:00
2007,W,Russia,0 days 02:26:54,Timofeyeva,Irina,39,35,W,8814.0,0 days 02:20:00
2007,W,United Kingdom,0 days 02:30:43,Haining,Hayley,64,35,W,9043.0,0 days 02:30:00
2007,W,Spain,0 days 02:36:58,Casares,Ana,110,35,W,9418.0,0 days 02:30:00
2007,W,Sweden,0 days 02:37:47,Magnusson,Lilian,114,35,W,9467.0,0 days 02:30:00
2007,W,Canada,0 days 02:44:28,Robson,Denise,238,35,W,9868.0,0 days 02:40:00
2007,W,Germany,0 days 02:44:51,Trost,Eva,246,35,W,9891.0,0 days 02:40:00
2007,W,Bulgaria,0 days 02:46:45,Mikhaylova,Milka,294,35,W,10005.0,0 days 02:40:00
2007,W,United Kingdom,0 days 02:52:19,Preen,Jane,538,35,W,10339.0,0 days 02:50:00
2007,W,Hong Kong,0 days 02:55:09,Siu Ping,Wong,699,35,W,10509.0,0 days 02:50:00
