year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2023,M,Switzerland,0 days 03:20:25,GnÃÂ¤dinger,Walter,6905,70,M,12025.0,0 days 03:20:00
2023,M,Poland,0 days 03:24:11,Balicki,Andrzej,7817,70,M,12251.0,0 days 03:20:00
2023,M,Germany,0 days 03:27:56,Alt,Rudolf,8959,70,M,12476.0,0 days 03:20:00
2023,M,Norway,0 days 03:30:56,Tvilde,Tore,9997,70,M,12656.0,0 days 03:30:00
2023,M,Dominican Republic,0 days 03:31:13,Almanzar,Adriano,10089,70,M,12673.0,0 days 03:30:00
2023,M,France,0 days 03:36:29,Ertauran,Bernard,11538,70,M,12989.0,0 days 03:30:00
2023,M,Germany,0 days 03:39:11,Fried,Andreas,12391,70,M,13151.0,0 days 03:30:00
2023,M,United States,0 days 03:40:07,Matsuo,Eduardo,12701,70,M,13207.0,0 days 03:40:00
2023,M,Norway,0 days 03:48:09,Lundegaard,Jan Olav,15353,70,M,13689.0,0 days 03:40:00
2023,M,United Kingdom,0 days 03:50:03,Newton,Graham,16022,70,M,13803.0,0 days 03:50:00
