year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2006,M,Germany,0 days 04:01:33,Pucks,Peter,12022,75,M,14493.0,0 days 04:00:00
2006,M,Japan,0 days 04:06:08,Nishino,Yoshio,13107,75,M,14768.0,0 days 04:00:00
2006,M,Poland,0 days 04:19:05,Stadniczuk,Michax,16592,75,M,15545.0,0 days 04:10:00
2006,M,Germany,0 days 04:20:48,Vigneron,Gerard,17058,75,M,15648.0,0 days 04:20:00
2006,M,France,0 days 04:35:51,Renard,Michel,20805,75,M,16551.0,0 days 04:30:00
2006,M,United States,0 days 04:38:09,Klier,George,21323,75,M,16689.0,0 days 04:30:00
2006,M,Italy,0 days 04:40:20,Caraceni,Tommaso,21813,75,M,16820.0,0 days 04:40:00
2006,M,Italy,0 days 05:00:12,Vasilacos,Costantino,25612,75,M,18012.0,0 days 05:00:00
2006,M,Germany,0 days 05:02:25,Noack,Karl-Heinz,25934,75,M,18145.0,0 days 05:00:00
2006,M,Turkey,0 days 05:07:25,Kartoglu,Safder,26579,75,M,18445.0,0 days 05:00:00
