year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2002,M,Kenya,0 days 02:06:47,Kipkoech,Raymond,1,25,M,7607.0,0 days 02:00:00
2002,M,Kenya,0 days 02:06:52,Kipsos,Vincent,3,25,M,7612.0,0 days 02:00:00
2002,M,Kenya,0 days 02:08:25,Muindi,Jimmy,5,25,M,7705.0,0 days 02:00:00
2002,M,Japan,0 days 02:10:31,Matsuda,Kazuhiro,6,25,M,7831.0,0 days 02:10:00
2002,M,Mexico,0 days 02:10:39,Palalia,Jose Ernani,7,25,M,7839.0,0 days 02:10:00
2002,M,Kenya,0 days 02:10:41,Mutai,Elijah,9,25,M,7841.0,0 days 02:10:00
2002,M,Kenya,0 days 02:10:55,Yatich,Mark,10,25,M,7855.0,0 days 02:10:00
2002,M,Spain,0 days 02:11:11,Fernandez,Oscar,12,25,M,7871.0,0 days 02:10:00
2002,M,Portugal,0 days 02:12:02,Chaica,Alberto,14,25,M,7922.0,0 days 02:10:00
2002,M,Ethiopia,0 days 02:12:27,Negussie,Hailu,15,25,M,7947.0,0 days 02:10:00
