year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2008,W,Germany,0 days 02:56:59,Parsiegla,Karsta,1036,45,W,10619.0,0 days 02:50:00
2008,W,Germany,0 days 02:58:45,Hehn,Antje,1268,45,W,10725.0,0 days 02:50:00
2008,W,Germany,0 days 03:00:23,Brenner,Elke,1480,45,W,10823.0,0 days 03:00:00
2008,W,Germany,0 days 03:01:36,Ferfer,Christiane,1571,45,W,10896.0,0 days 03:00:00
2008,W,Sweden,0 days 03:02:03,Martinsson,Gunilla,1611,45,W,10923.0,0 days 03:00:00
2008,W,Norway,0 days 03:03:15,Saanum,Inger Dagny,1711,45,W,10995.0,0 days 03:00:00
2008,W,Switzerland,0 days 03:03:30,Colaone,Christine,1741,45,W,11010.0,0 days 03:00:00
2008,W,Germany,0 days 03:06:54,Zanzinger,Anne,2095,45,W,11214.0,0 days 03:00:00
2008,W,France,0 days 03:07:05,Durand,Sylvie,2114,45,W,11225.0,0 days 03:00:00
2008,W,Italy,0 days 03:08:05,Pivetta,Daniela,2240,45,W,11285.0,0 days 03:00:00
