year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2009,W,Germany,0 days 02:54:22,Steg,Kerstin,677,40,W,10462.0,0 days 02:50:00
2009,W,Germany,0 days 02:59:30,Richter,Elke,1098,40,W,10770.0,0 days 02:50:00
2009,W,Germany,0 days 03:06:09,Schucht,Irene,1652,40,W,11169.0,0 days 03:00:00
2009,W,Netherlands,0 days 03:06:44,van Onna,Wilma,1695,40,W,11204.0,0 days 03:00:00
2009,W,France,0 days 03:07:07,FranÃÂ§oise,Dumas,1733,40,W,11227.0,0 days 03:00:00
2009,W,Germany,0 days 03:09:11,Schulz,Ursula,1969,40,W,11351.0,0 days 03:00:00
2009,W,Italy,0 days 03:09:47,Ballabio,Emanuela Maria,2049,40,W,11387.0,0 days 03:00:00
2009,W,Denmark,0 days 03:10:04,Czajkowska,Tina,2088,40,W,11404.0,0 days 03:10:00
2009,W,Netherlands,0 days 03:10:20,Bruggenkamp,Bertha,2110,40,W,11420.0,0 days 03:10:00
2009,W,New Zealand,0 days 03:11:42,Devine,Andrea,2250,40,W,11502.0,0 days 03:10:00
