year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
1999,W,Belgium,0 days 02:23:58,Renders,Marleen,49,30,W,8638.0,0 days 02:20:00
1999,W,Poland,0 days 02:27:30,Sobanska,Malgorzata,60,30,W,8850.0,0 days 02:20:00
1999,W,Poland,0 days 02:29:27,Nikiel,Anila,67,30,W,8967.0,0 days 02:20:00
1999,W,Switzerland,0 days 02:32:38,Nauer,Daria,90,30,W,9158.0,0 days 02:30:00
1999,W,Germany,0 days 02:46:16,Wolfrom,Annette,310,30,W,9976.0,0 days 02:40:00
1999,W,Germany,0 days 02:50:17,Pieper,Anke,436,30,W,10217.0,0 days 02:50:00
1999,W,Germany,0 days 02:54:23,Meier,Simone,611,30,W,10463.0,0 days 02:50:00
1999,W,Germany,0 days 02:56:39,Walter,Tina,727,30,W,10599.0,0 days 02:50:00
1999,W,Germany,0 days 02:59:01,Nachtigall,Kirsten,918,30,W,10741.0,0 days 02:50:00
1999,W,Sweden,0 days 03:02:38,Skarin,Annika,1174,30,W,10958.0,0 days 03:00:00
