year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2015,M,Kenya,0 days 02:05:21,Kiptanui,Eliud,2,25,M,7521.0,0 days 02:00:00
2015,M,Ethiopia,0 days 02:06:57,Lilesa,Feyisa,3,25,M,7617.0,0 days 02:00:00
2015,M,Belgium,0 days 02:10:31,Naert,Koen,7,25,M,7831.0,0 days 02:10:00
2015,M,Japan,0 days 02:10:58,Gokaya,Koji,9,25,M,7858.0,0 days 02:10:00
2015,M,Ethiopia,0 days 02:11:54,Asmamaw Tiruneh,Chalachew,11,25,M,7914.0,0 days 02:10:00
2015,M,United States,0 days 02:12:28,Llano,Matt,13,25,M,7948.0,0 days 02:10:00
2015,M,Japan,0 days 02:12:32,Sato,Yuki,14,25,M,7952.0,0 days 02:10:00
2015,M,Germany,0 days 02:12:50,Pflieger,Philipp,16,25,M,7970.0,0 days 02:10:00
2015,M,Belgium,0 days 02:12:51,Caelen,Florent,17,25,M,7971.0,0 days 02:10:00
2015,M,Germany,0 days 02:13:57,FlÃÂ¼gel,Julian,19,25,M,8037.0,0 days 02:10:00
