year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2001,M,Poland,0 days 02:47:14,Zaleski,Henryk,328,55,M,10034.0,0 days 02:40:00
2001,M,Denmark,0 days 02:53:48,Clemmensen,Poul,620,55,M,10428.0,0 days 02:50:00
2001,M,Switzerland,0 days 02:57:20,Aeby,Peter,880,55,M,10640.0,0 days 02:50:00
2001,M,Germany,0 days 02:58:50,Wilutzky,Claus,1044,55,M,10730.0,0 days 02:50:00
2001,M,Germany,0 days 02:58:51,Stephan,Manfred,1047,55,M,10731.0,0 days 02:50:00
2001,M,Denmark,0 days 02:59:31,Rossau,Michael,1128,55,M,10771.0,0 days 02:50:00
2001,M,Germany,0 days 03:01:12,Revermann,Berhard,1247,55,M,10872.0,0 days 03:00:00
2001,M,Canada,0 days 03:01:13,Gagnon,Jacques,1249,55,M,10873.0,0 days 03:00:00
2001,M,Germany,0 days 03:01:42,Hanke,Peter,1288,55,M,10902.0,0 days 03:00:00
2001,M,Germany,0 days 03:02:12,Rehner,Roland,1319,55,M,10932.0,0 days 03:00:00
