year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2023,W,Norway,0 days 03:57:18,Nystad,Vera,18956,75,W,14238.0,0 days 03:50:00
2023,W,United Kingdom,0 days 04:34:35,Little,Gina,29887,75,W,16475.0,0 days 04:30:00
2023,W,Slovakia,0 days 04:49:52,Seidlova,Eva,33277,75,W,17392.0,0 days 04:40:00
2023,W,Germany,0 days 05:09:09,KrÃÂ¼gel,Ingrid,36688,75,W,18549.0,0 days 05:00:00
2023,W,Germany,0 days 05:27:06,Hermann,Elisabeth,38874,75,W,19626.0,0 days 05:20:00
2023,W,Germany,0 days 05:36:32,Franke-Thurau,Ursula,39778,75,W,20192.0,0 days 05:30:00
2023,W,United States,0 days 05:49:43,Buckhanan,Tamerra,40847,75,W,20983.0,0 days 05:40:00
2023,W,Canada,0 days 05:53:50,Coffey,Kathy,41131,75,W,21230.0,0 days 05:50:00
2023,W,Germany,0 days 06:11:04,Donhuijsen-Ant,Rosemarie,42138,75,W,22264.0,0 days 06:10:00
2023,W,United States,0 days 06:16:40,DUTTON,SARA,42375,75,W,22600.0,0 days 06:10:00
