year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2021,W,Ethiopia,0 days 02:20:09,Gebreslase,Gotytom,23,25,W,8409.0,0 days 02:20:00
2021,W,Ethiopia,0 days 02:21:23,Gebrekidan,Hiwot,25,25,W,8483.0,0 days 02:20:00
2021,W,Ethiopia,0 days 02:23:05,Tola,Helen,28,25,W,8585.0,0 days 02:20:00
2021,W,Ethiopia,0 days 02:24:43,Demise,Shure,33,25,W,8683.0,0 days 02:20:00
2021,W,Kenya,0 days 02:24:58,Chemutai,Fancy,37,25,W,8698.0,0 days 02:20:00
2021,W,Germany,0 days 02:28:49,SchÃÂ¶neborn,Rabea,65,25,W,8929.0,0 days 02:20:00
2021,W,Norway,0 days 02:35:34,WÃÂ¥gan,Maria,151,25,W,9334.0,0 days 02:30:00
2021,W,Kenya,0 days 02:37:41,Akeno,Martha,188,25,W,9461.0,0 days 02:30:00
2021,W,Canada,0 days 02:38:08,Legault,Elissa,201,25,W,9488.0,0 days 02:30:00
2021,W,Republic of Ireland,0 days 02:40:06,Lynch,Grace,253,25,W,9606.0,0 days 02:40:00
