year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2021,M,Italy,0 days 04:13:06,Ghiglino,Claudio,11482,75,M,15186.0,0 days 04:10:00
2021,M,Switzerland,0 days 04:24:44,Goetsch,Otto,13475,75,M,15884.0,0 days 04:20:00
2021,M,Germany,0 days 04:36:52,Struzak,Bernd,15423,75,M,16612.0,0 days 04:30:00
2021,M,Japan,0 days 04:40:06,Tsugawa,Kazuhiko,15938,75,M,16806.0,0 days 04:40:00
2021,M,Germany,0 days 04:41:56,Schlief,Hansdieter,16184,75,M,16916.0,0 days 04:40:00
2021,M,France,0 days 04:55:47,Blanc-Bernard,Michel,18115,75,M,17747.0,0 days 04:50:00
2021,M,Norway,0 days 04:56:11,Sel,Harald,18155,75,M,17771.0,0 days 04:50:00
2021,M,Germany,0 days 04:57:17,WÃÂ¼nsche,Fritz-Werner,18286,75,M,17837.0,0 days 04:50:00
2021,M,United States,0 days 04:59:49,Hirschowitz,Jack,18642,75,M,17989.0,0 days 04:50:00
2021,M,Germany,0 days 05:08:54,Heisterkamp,Karl,19475,75,M,18534.0,0 days 05:00:00
