year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2001,W,Germany,0 days 03:30:24,SchrÃÂ¶der,Marlis,5553,60,W,12624.0,0 days 03:30:00
2001,W,Denmark,0 days 03:39:15,Espersen,Lise,7536,60,W,13155.0,0 days 03:30:00
2001,W,Switzerland,0 days 03:48:40,Schurtenberger,Silvia,9968,60,W,13720.0,0 days 03:40:00
2001,W,Germany,0 days 03:48:55,Clausen,Sylvia,10056,60,W,13735.0,0 days 03:40:00
2001,W,Germany,0 days 03:52:48,HÃÂ¼bner,Ilse,11172,60,W,13968.0,0 days 03:50:00
2001,W,Germany,0 days 04:02:48,Neurath,Traudel,14297,60,W,14568.0,0 days 04:00:00
2001,W,Germany,0 days 04:08:00,Rosenski,Gertrud,15501,60,W,14880.0,0 days 04:00:00
2001,W,Germany,0 days 04:08:06,Bergfeld,Irma,15520,60,W,14886.0,0 days 04:00:00
2001,W,Germany,0 days 04:09:27,Lammet,Ursula,15869,60,W,14967.0,0 days 04:00:00
2001,W,Netherlands,0 days 04:09:35,Post,Esclarmonde van der,15909,60,W,14975.0,0 days 04:00:00
