year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2013,M,Netherlands,0 days 02:56:44,Bekers,Frans,998,60,M,10604.0,0 days 02:50:00
2013,M,Germany,0 days 02:59:27,Dormann,Manfred,1410,60,M,10767.0,0 days 02:50:00
2013,M,Germany,0 days 03:04:02,MÃÂ¼ller,Jochen,1856,60,M,11042.0,0 days 03:00:00
2013,M,France,0 days 03:09:04,Barbeoch,Denis,2530,60,M,11344.0,0 days 03:00:00
2013,M,Germany,0 days 03:10:06,Menke,Jochen,2725,60,M,11406.0,0 days 03:10:00
2013,M,Brazil,0 days 03:10:41,Araujo,Jonas,2801,60,M,11441.0,0 days 03:10:00
2013,M,Italy,0 days 03:11:31,MANERBA,FIORINO,2925,60,M,11491.0,0 days 03:10:00
2013,M,Italy,0 days 03:11:55,manganello,stefano,2985,60,M,11515.0,0 days 03:10:00
2013,M,France,0 days 03:14:34,merrien,michel,3488,60,M,11674.0,0 days 03:10:00
2013,M,Netherlands,0 days 03:15:17,Lansbergen,Leonardus,3620,60,M,11717.0,0 days 03:10:00
