year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2001,M,United Kingdom,0 days 02:34:12,McGeoch,Mick,80,45,M,9252.0,0 days 02:30:00
2001,M,Netherlands,0 days 02:34:45,Hendriks,Gerard,84,45,M,9285.0,0 days 02:30:00
2001,M,Sweden,0 days 02:35:07,Ulmestahl,Stefan,92,45,M,9307.0,0 days 02:30:00
2001,M,Germany,0 days 02:38:03,Vogg,Herbert,122,45,M,9483.0,0 days 02:30:00
2001,M,Belgium,0 days 02:38:41,Seynaeve,Johan,139,45,M,9521.0,0 days 02:30:00
2001,M,Germany,0 days 02:38:45,Schulz,Gerald,141,45,M,9525.0,0 days 02:30:00
2001,M,Belgium,0 days 02:40:59,Wesemael,Etienne van,179,45,M,9659.0,0 days 02:40:00
2001,M,Denmark,0 days 02:41:15,Pedersen,Jens Vagn,182,45,M,9675.0,0 days 02:40:00
2001,M,Austria,0 days 02:41:58,Katzlberger,Herbert,202,45,M,9718.0,0 days 02:40:00
2001,M,France,0 days 02:42:56,Galim,Ernest Max,220,45,M,9776.0,0 days 02:40:00
