year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2019,M,Kenya,0 days 02:06:45,Korir,Jonathan,4,30,M,7605.0,0 days 02:00:00
2019,M,Kenya,0 days 02:08:07,Kandie,Felix,5,30,M,7687.0,0 days 02:00:00
2019,M,Eritrea,0 days 02:08:26,Gebregergish,Yohanes,6,30,M,7706.0,0 days 02:00:00
2019,M,China,0 days 02:08:28,Dong,Guojian,7,30,M,7708.0,0 days 02:00:00
2019,M,Austria,0 days 02:10:57,Herzog,Peter,12,30,M,7857.0,0 days 02:10:00
2019,M,United States,0 days 02:11:14,Llano,Matt,14,30,M,7874.0,0 days 02:10:00
2019,M,Sweden,0 days 02:11:50,Nilsson,David,15,30,M,7910.0,0 days 02:10:00
2019,M,United Kingdom,0 days 02:12:29,Mellor,Jonathan,16,30,M,7949.0,0 days 02:10:00
2019,M,Italy,0 days 02:13:48,La Rosa,Stefano,22,30,M,8028.0,0 days 02:10:00
2019,M,Eritrea,0 days 02:13:51,Felfele,Tesfay,23,30,M,8031.0,0 days 02:10:00
