year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2011,W,Norway,0 days 03:30:15,Nystad,Vera,5820,65,W,12615.0,0 days 03:30:00
2011,W,Denmark,0 days 03:54:32,Christensen,Doris,12608,65,W,14072.0,0 days 03:50:00
2011,W,Finland,0 days 03:58:13,Karjalainen,Kirsti,14102,65,W,14293.0,0 days 03:50:00
2011,W,United Kingdom,0 days 04:12:54,Little,Gina,18594,65,W,15174.0,0 days 04:10:00
2011,W,Germany,0 days 04:14:49,KrÃÂ¼gel,Ingrid,19156,65,W,15289.0,0 days 04:10:00
2011,W,Denmark,0 days 04:14:55,Olsen,Inge,19188,65,W,15295.0,0 days 04:10:00
2011,W,United States,0 days 04:15:08,Wang,Maron,19239,65,W,15308.0,0 days 04:10:00
2011,W,Netherlands,0 days 04:15:46,Knipmeijer,Eef,19383,65,W,15346.0,0 days 04:10:00
2011,W,Germany,0 days 04:16:50,Mager,Candida,19658,65,W,15410.0,0 days 04:10:00
2011,W,Russia,0 days 04:22:59,Kolobanova,Liudmila,21325,65,W,15779.0,0 days 04:20:00
