year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2014,M,Germany,0 days 02:53:30,Weinmann,Paul,645,20,M,10410.0,0 days 02:50:00
2014,M,United Kingdom,0 days 03:04:11,Sambrook,Josh,1561,20,M,11051.0,0 days 03:00:00
2014,M,Germany,0 days 03:11:06,Herbrand,Tim,2316,20,M,11466.0,0 days 03:10:00
2014,M,Italy,0 days 03:18:48,Hofer,Dominik,3368,20,M,11928.0,0 days 03:10:00
2014,M,Poland,0 days 03:21:08,Musialkiewicz,Pawel,3781,20,M,12068.0,0 days 03:20:00
2014,M,Germany,0 days 03:29:53,Beyer,Nicolaj,5611,20,M,12593.0,0 days 03:20:00
2014,M,Germany,0 days 03:30:02,Herrmann,Patrick,5645,20,M,12602.0,0 days 03:30:00
2014,M,Denmark,0 days 03:31:23,Lehmann,Hans Frederik Greve,5951,20,M,12683.0,0 days 03:30:00
2014,M,Italy,0 days 03:31:49,Stampfl,Christoph,6045,20,M,12709.0,0 days 03:30:00
2014,M,Estonia,0 days 03:35:40,Borouhhin,Vladislav,6864,20,M,12940.0,0 days 03:30:00
