year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2012,M,France,0 days 02:29:22,Senac,Pierre,51,45,M,8962.0,0 days 02:20:00
2012,M,Denmark,0 days 02:31:35,Poulsen,Claus,74,45,M,9095.0,0 days 02:30:00
2012,M,Germany,0 days 02:32:12,Schulz,Konrad,80,45,M,9132.0,0 days 02:30:00
2012,M,United States,0 days 02:32:35,McManus,Mike,85,45,M,9155.0,0 days 02:30:00
2012,M,Netherlands,0 days 02:36:17,Altorf,Nico,120,45,M,9377.0,0 days 02:30:00
2012,M,Spain,0 days 02:36:32,Alcoba Hernandez,Jose Manuel,126,45,M,9392.0,0 days 02:30:00
2012,M,Italy,0 days 02:37:08,Mahjoubi,Abdelaziz,132,45,M,9428.0,0 days 02:30:00
2012,M,Denmark,0 days 02:39:33,Krogh,Jens,170,45,M,9573.0,0 days 02:30:00
2012,M,Spain,0 days 02:39:42,Espinar ZamarreÃÂ±o,Manuel,173,45,M,9582.0,0 days 02:30:00
2012,M,Germany,0 days 02:39:49,Schulz,Robert,176,45,M,9589.0,0 days 02:30:00
