year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2008,W,Chile,0 days 03:04:31,Rivas,Luisa  Ines,1848,55,W,11071.0,0 days 03:00:00
2008,W,Denmark,0 days 03:23:08,Nielsen,Grethe,4837,55,W,12188.0,0 days 03:20:00
2008,W,Switzerland,0 days 03:23:12,Lochmatter,Josy,4854,55,W,12192.0,0 days 03:20:00
2008,W,France,0 days 03:25:06,Augis,Mona,5271,55,W,12306.0,0 days 03:20:00
2008,W,Norway,0 days 03:26:47,Erikssen,Eli,5662,55,W,12407.0,0 days 03:20:00
2008,W,United Kingdom,0 days 03:29:54,Hemsworth,Caroline,6611,55,W,12594.0,0 days 03:20:00
2008,W,Denmark,0 days 03:30:53,Bastiansen,Anne,6890,55,W,12653.0,0 days 03:30:00
2008,W,Germany,0 days 03:31:50,Weisser,Christa,7128,55,W,12710.0,0 days 03:30:00
2008,W,France,0 days 03:33:55,Fossard,Sylviane,7687,55,W,12835.0,0 days 03:30:00
2008,W,Spain,0 days 03:36:09,Castrodeza,Javier,8265,55,W,12969.0,0 days 03:30:00
