year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2015,M,Germany,0 days 02:55:39,KÃÂ¶hler,Jan-Aiko,1181,20,M,10539.0,0 days 02:50:00
2015,M,Denmark,0 days 03:14:22,Krog Pedersen,Asbjoern,3792,20,M,11662.0,0 days 03:10:00
2015,M,Germany,0 days 03:18:52,Behrmann,Benedict,4593,20,M,11932.0,0 days 03:10:00
2015,M,United Kingdom,0 days 03:25:56,Bareham,James,6147,20,M,12356.0,0 days 03:20:00
2015,M,Denmark,0 days 03:28:16,Lehmann,Hans Frederik Greve,6912,20,M,12496.0,0 days 03:20:00
2015,M,Poland,0 days 03:28:26,Glyzewski,Radoslaw,6955,20,M,12506.0,0 days 03:20:00
2015,M,Norway,0 days 03:33:44,Oftedal,Sivert,8514,20,M,12824.0,0 days 03:30:00
2015,M,Sweden,0 days 03:35:09,Arthursson,Adam,8932,20,M,12909.0,0 days 03:30:00
2015,M,Denmark,0 days 03:38:34,Forsting,Adam,9926,20,M,13114.0,0 days 03:30:00
2015,M,Germany,0 days 03:39:04,Held,Marvin,10090,20,M,13144.0,0 days 03:30:00
