year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2015,W,Japan,0 days 03:58:22,Sato-Fraser,Hideko,17149,65,W,14302.0,0 days 03:50:00
2015,W,Denmark,0 days 04:04:20,Damborg,Trine Margrethe,19264,65,W,14660.0,0 days 04:00:00
2015,W,Germany,0 days 04:15:24,Pithan,Ulrike,22522,65,W,15324.0,0 days 04:10:00
2015,W,Germany,0 days 04:18:13,Kim,Ae-Suk,23309,65,W,15493.0,0 days 04:10:00
2015,W,Denmark,0 days 04:21:59,Pallisgaard,Marianne,24355,65,W,15719.0,0 days 04:20:00
2015,W,Denmark,0 days 04:27:56,Toennesen,Else,25988,65,W,16076.0,0 days 04:20:00
2015,W,Germany,0 days 04:30:52,Vorsatz,Magdalene,26728,65,W,16252.0,0 days 04:30:00
2015,W,Germany,0 days 04:31:09,Heymann,Veronika,26793,65,W,16269.0,0 days 04:30:00
2015,W,Norway,0 days 04:31:20,SundtjÃÂ¸nn,Elin,26839,65,W,16280.0,0 days 04:30:00
2015,W,Netherlands,0 days 04:31:45,Veenstra,Aukje,26924,65,W,16305.0,0 days 04:30:00
