year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2021,W,Germany,0 days 02:39:36,Morchner,Sandra,244,50,W,9576.0,0 days 02:30:00
2021,W,Australia,0 days 02:55:43,Arcella,Concetta,855,50,W,10543.0,0 days 02:50:00
2021,W,Mexico,0 days 02:58:16,Leon,Aurora,1054,50,W,10696.0,0 days 02:50:00
2021,W,France,0 days 02:58:17,Omrani,Aicha,1055,50,W,10697.0,0 days 02:50:00
2021,W,United States,0 days 03:03:49,Jiang,Sunny,1436,50,W,11029.0,0 days 03:00:00
2021,W,Italy,0 days 03:06:37,Di Martino,Ivana,1623,50,W,11197.0,0 days 03:00:00
2021,W,Norway,0 days 03:06:37,Ragnvaldsen,Monica,1624,50,W,11197.0,0 days 03:00:00
2021,W,Germany,0 days 03:11:57,Krause,Astrid,2033,50,W,11517.0,0 days 03:10:00
2021,W,Israel,0 days 03:12:49,Einer,Ester,2111,50,W,11569.0,0 days 03:10:00
2021,W,Canada,0 days 03:13:39,Jobin,StÃÂ©phanie,2191,50,W,11619.0,0 days 03:10:00
