year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2003,M,Germany,0 days 02:36:57,Branse,Konrad,125,50,M,9417.0,0 days 02:30:00
2003,M,Denmark,0 days 02:37:35,Jacobsen,Mogens,131,50,M,9455.0,0 days 02:30:00
2003,M,Switzerland,0 days 02:38:25,Zimmerli,Hans,146,50,M,9505.0,0 days 02:30:00
2003,M,Sweden,0 days 02:40:38,Ulmestahl,Stefan,190,50,M,9638.0,0 days 02:40:00
2003,M,Germany,0 days 02:41:35,Steffny,Herbert,209,50,M,9695.0,0 days 02:40:00
2003,M,Germany,0 days 02:42:44,Klocke,Dietmar,242,50,M,9764.0,0 days 02:40:00
2003,M,Netherlands,0 days 02:43:20,Smit,Ton,261,50,M,9800.0,0 days 02:40:00
2003,M,Switzerland,0 days 02:44:19,Bischoff,Johannes,284,50,M,9859.0,0 days 02:40:00
2003,M,Denmark,0 days 02:45:36,Larsen,Per,328,50,M,9936.0,0 days 02:40:00
2003,M,Germany,0 days 02:46:16,Uhlmann,Arndt,351,50,M,9976.0,0 days 02:40:00
