year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2013,M,Portugal,0 days 02:12:16,Silva,Rui,9,35,M,7936.0,0 days 02:10:00
2013,M,France,0 days 02:12:40,Habarurema,Jean,13,35,M,7960.0,0 days 02:10:00
2013,M,Germany,0 days 02:14:50,Cierpinski,Falk,18,35,M,8090.0,0 days 02:10:00
2013,M,Denmark,0 days 02:20:51,Bech,Peter,27,35,M,8451.0,0 days 02:20:00
2013,M,Republic of Ireland,0 days 02:21:53,Harty,Philip,37,35,M,8513.0,0 days 02:20:00
2013,M,Italy,0 days 02:25:26,Brunner,Georg,48,35,M,8726.0,0 days 02:20:00
2013,M,France,0 days 02:27:10,Saad,Achour,52,35,M,8830.0,0 days 02:20:00
2013,M,Spain,0 days 02:27:12,Martin Garcia,Jose Ignacio,53,35,M,8832.0,0 days 02:20:00
2013,M,Germany,0 days 02:27:32,Benz,Ulrich,55,35,M,8852.0,0 days 02:20:00
2013,M,Sweden,0 days 02:28:32,Anfalt,Erik,59,35,M,8912.0,0 days 02:20:00
