year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2019,W,Germany,0 days 03:06:38,Schneck,Ute,3343,55,W,11198.0,0 days 03:00:00
2019,W,United Kingdom,0 days 03:10:12,Harrison,Susanna,3925,55,W,11412.0,0 days 03:10:00
2019,W,United Kingdom,0 days 03:11:18,Shale,Joanne,4107,55,W,11478.0,0 days 03:10:00
2019,W,Spain,0 days 03:13:51,Puigdueta,Merce,4575,55,W,11631.0,0 days 03:10:00
2019,W,Germany,0 days 03:14:25,Parsiegla,Karsta,4715,55,W,11665.0,0 days 03:10:00
2019,W,United Kingdom,0 days 03:17:11,Bichard,Melanie,5274,55,W,11831.0,0 days 03:10:00
2019,W,Canada,0 days 03:18:34,Pethick,Wendy,5571,55,W,11914.0,0 days 03:10:00
2019,W,Germany,0 days 03:20:03,Lenk,Manuela,5946,55,W,12003.0,0 days 03:20:00
2019,W,Japan,0 days 03:22:06,Tsuchida,Yukari,6401,55,W,12126.0,0 days 03:20:00
2019,W,United States,0 days 03:23:53,Edwards,Gina,6873,55,W,12233.0,0 days 03:20:00
