year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2023,W,Canada,0 days 02:23:30,Elmore,Malindi,102,40,W,8610.0,0 days 02:20:00
2023,W,Australia,0 days 02:34:29,Wilson,Vanessa,395,40,W,9269.0,0 days 02:30:00
2023,W,Poland,0 days 02:39:10,stelmach,Dominika,665,40,W,9550.0,0 days 02:30:00
2023,W,Ecuador,0 days 02:41:49,Paredes,Silvia,844,40,W,9709.0,0 days 02:40:00
2023,W,Norway,0 days 02:47:38,Bovim,Ingvill mÃÂ¥kestad,1349,40,W,10058.0,0 days 02:40:00
2023,W,Lebanon,0 days 02:48:37,Njeim,Nesrine,1444,40,W,10117.0,0 days 02:40:00
2023,W,Germany,0 days 02:49:48,Wienstroth,Ilka,1572,40,W,10188.0,0 days 02:40:00
2023,W,United States,0 days 02:49:53,Lerer,Allison,1582,40,W,10193.0,0 days 02:40:00
2023,W,United States,0 days 02:49:55,Featherstun,Meghann,1589,40,W,10195.0,0 days 02:40:00
2023,W,Republic of Ireland,0 days 02:50:46,Corcoran,Jan,1666,40,W,10246.0,0 days 02:50:00
