year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2016,W,United States,0 days 03:33:40,Kintner-Meyer,Nancy,7311,60,W,12820.0,0 days 03:30:00
2016,W,France,0 days 03:42:31,Fossard,Sylviane,9665,60,W,13351.0,0 days 03:40:00
2016,W,Germany,0 days 03:43:16,Rothenbusch,Marlene,9906,60,W,13396.0,0 days 03:40:00
2016,W,Germany,0 days 03:46:33,BÃÂ¶rner,Bettina,10945,60,W,13593.0,0 days 03:40:00
2016,W,Denmark,0 days 03:47:30,Schou,Bente,11244,60,W,13650.0,0 days 03:40:00
2016,W,Netherlands,0 days 03:47:50,Weitkamp,Gerda,11346,60,W,13670.0,0 days 03:40:00
2016,W,Denmark,0 days 03:47:56,Jensen,Hanne Margrethe,11373,60,W,13676.0,0 days 03:40:00
2016,W,Germany,0 days 03:48:22,KÃÂ¶ppen,Ulla,11483,60,W,13702.0,0 days 03:40:00
2016,W,Norway,0 days 03:48:32,Fjordheim,Kjellaug,11545,60,W,13712.0,0 days 03:40:00
2016,W,United Kingdom,0 days 03:51:58,Orme,Judith,12646,60,W,13918.0,0 days 03:50:00
