year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2019,M,Republic of Ireland,0 days 02:59:40,Kearney,Martin,2394,65,M,10780.0,0 days 02:50:00
2019,M,Czech Republic,0 days 03:02:28,KorytÃÂ¡r,JÃÂ¡n,2799,65,M,10948.0,0 days 03:00:00
2019,M,Canada,0 days 03:10:05,Skea,Kenneth,3907,65,M,11405.0,0 days 03:10:00
2019,M,Hungary,0 days 03:13:07,Heiner,Tibor,4435,65,M,11587.0,0 days 03:10:00
2019,M,Germany,0 days 03:17:19,Lippold,GÃÂ¼nther,5303,65,M,11839.0,0 days 03:10:00
2019,M,Thailand,0 days 03:18:03,Sinturuk,Anan,5460,65,M,11883.0,0 days 03:10:00
2019,M,United Kingdom,0 days 03:18:36,Graham,James,5576,65,M,11916.0,0 days 03:10:00
2019,M,Norway,0 days 03:20:02,Balto,Jan-Helge,5940,65,M,12002.0,0 days 03:20:00
2019,M,Germany,0 days 03:22:10,Nagowizyn,Wladimir,6410,65,M,12130.0,0 days 03:20:00
2019,M,Germany,0 days 03:23:19,Weidel,Fred,6703,65,M,12199.0,0 days 03:20:00
