year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2019,W,Ethiopia,0 days 02:21:36,Tola,Helen,87,25,W,8496.0,0 days 02:20:00
2019,W,Germany,0 days 02:23:57,Kejeta,Melat,102,25,W,8637.0,0 days 02:20:00
2019,W,Ethiopia,0 days 02:26:50,Tesfay,Haftamnesh,132,25,W,8810.0,0 days 02:20:00
2019,W,Taiwan,0 days 02:34:09,Tsao,Chun Yu,294,25,W,9249.0,0 days 02:30:00
2019,W,Canada,0 days 02:35:56,Harper,Jessica,355,25,W,9356.0,0 days 02:30:00
2019,W,China,0 days 02:39:46,Jila,Dawa,504,25,W,9586.0,0 days 02:30:00
2019,W,China,0 days 02:40:33,Zheng,Zhiling,543,25,W,9633.0,0 days 02:40:00
2019,W,Hong Kong,0 days 02:41:09,Wong,Tsz Yan,569,25,W,9669.0,0 days 02:40:00
2019,W,Kazakhstan,0 days 02:42:04,Mamazhanova,Zhanna,621,25,W,9724.0,0 days 02:40:00
2019,W,United States,0 days 02:42:09,Gill,Carly,623,25,W,9729.0,0 days 02:40:00
