year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2009,W,Germany,0 days 03:03:19,Parsiegla,Karsta,1394,45,W,10999.0,0 days 03:00:00
2009,W,United Kingdom,0 days 03:08:42,Woodward,Samantha,1917,45,W,11322.0,0 days 03:00:00
2009,W,Germany,0 days 03:09:57,Zenk,Ramona,2073,45,W,11397.0,0 days 03:00:00
2009,W,United Kingdom,0 days 03:10:11,Steer,Deborah,2093,45,W,11411.0,0 days 03:10:00
2009,W,Germany,0 days 03:10:39,Musiol,Edeltraud,2146,45,W,11439.0,0 days 03:10:00
2009,W,France,0 days 03:13:02,Fajardy,Isabelle,2403,45,W,11582.0,0 days 03:10:00
2009,W,Germany,0 days 03:13:26,Hehn,Antje,2453,45,W,11606.0,0 days 03:10:00
2009,W,Germany,0 days 03:13:40,Burmester-SchÃÂ¶ler,Beate,2492,45,W,11620.0,0 days 03:10:00
2009,W,United Kingdom,0 days 03:16:23,Lascelles,Linda,2860,45,W,11783.0,0 days 03:10:00
2009,W,Spain,0 days 03:17:17,Paredes Rodriguez,Maria Deel Carmen,2988,45,W,11837.0,0 days 03:10:00
