year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2003,W,Netherlands,0 days 02:59:56,Dingemans,Sylvia,1302,50,W,10796.0,0 days 02:50:00
2003,W,Germany,0 days 03:16:51,Rook,Maria,3127,50,W,11811.0,0 days 03:10:00
2003,W,Germany,0 days 03:19:26,Jeewe,Edda,3535,50,W,11966.0,0 days 03:10:00
2003,W,Belgium,0 days 03:23:00,Hannes,Juliette,4134,50,W,12180.0,0 days 03:20:00
2003,W,Germany,0 days 03:25:57,Rentschler,Gerlinde,4757,50,W,12357.0,0 days 03:20:00
2003,W,Belgium,0 days 03:26:20,Verheyen,Irma,4832,50,W,12380.0,0 days 03:20:00
2003,W,Germany,0 days 03:26:45,GÃÂ¶thel,Gisela,4935,50,W,12405.0,0 days 03:20:00
2003,W,Germany,0 days 03:26:50,Hochstein,Gerlinde,4951,50,W,12410.0,0 days 03:20:00
2003,W,Denmark,0 days 03:26:54,Olesen,Ella,4968,50,W,12414.0,0 days 03:20:00
2003,W,Germany,0 days 03:27:58,Moritz,Brigitte,5236,50,W,12478.0,0 days 03:20:00
