year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2009,W,Italy,0 days 02:26:45,Console,Rosaria,42,30,W,8805.0,0 days 02:20:00
2009,W,Russia,0 days 02:32:17,Aryasova,Tatiana,78,30,W,9137.0,0 days 02:30:00
2009,W,Germany,0 days 02:44:56,Schulz,Melanie,289,30,W,9896.0,0 days 02:40:00
2009,W,Italy,0 days 02:47:26,Fratus,Elena,379,30,W,10046.0,0 days 02:40:00
2009,W,Israel,0 days 02:47:36,Bahmend,Svetlana,382,30,W,10056.0,0 days 02:40:00
2009,W,Germany,0 days 02:49:11,Bittel,Silke,439,30,W,10151.0,0 days 02:40:00
2009,W,Denmark,0 days 02:51:26,Houlborg,Vibeke,532,30,W,10286.0,0 days 02:50:00
2009,W,Denmark,0 days 02:51:33,Tilma,Kathrine,535,30,W,10293.0,0 days 02:50:00
2009,W,Denmark,0 days 02:52:04,Hansen,Lone balling,560,30,W,10324.0,0 days 02:50:00
2009,W,Finland,0 days 02:53:30,Puotiniemi,Leena,627,30,W,10410.0,0 days 02:50:00
