year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2019,W,Germany,0 days 04:44:49,KrÃÂ¼gel,Ingrid,33602,75,W,17089.0,0 days 04:40:00
2019,W,Denmark,0 days 05:02:00,Valeur,Birgit Bamberg,37287,75,W,18120.0,0 days 05:00:00
2019,W,Taiwan,0 days 05:14:41,Lee,Chisan,38981,75,W,18881.0,0 days 05:10:00
2019,W,Australia,0 days 05:41:02,Shelper,Patricia,41605,75,W,20462.0,0 days 05:40:00
2019,W,United Kingdom,0 days 05:53:47,Hamilton,Sarah,42509,75,W,21227.0,0 days 05:50:00
2019,W,Germany,0 days 06:04:11,Eichner,Sigrid,43042,75,W,21851.0,0 days 06:00:00
2019,W,Germany,0 days 06:09:21,Schlager,Ruth,43264,75,W,22161.0,0 days 06:00:00
2019,W,United States,0 days 06:39:01,Swope,Carole,43916,75,W,23941.0,0 days 06:30:00
