year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2021,M,Norway,0 days 02:17:17,Ebrahim,Abdulaziz,18,40,M,8237.0,0 days 02:10:00
2021,M,Dominican Republic,0 days 02:25:17,Alvarez,Recio,40,40,M,8717.0,0 days 02:20:00
2021,M,France,0 days 02:25:39,Herault,Eric,42,40,M,8739.0,0 days 02:20:00
2021,M,Republic of Ireland,0 days 02:25:47,Murphy,Robert,43,40,M,8747.0,0 days 02:20:00
2021,M,Russia,0 days 02:25:51,Vinogradov,Egor,44,40,M,8751.0,0 days 02:20:00
2021,M,Poland,0 days 02:27:43,Gizynski,Marius,54,40,M,8863.0,0 days 02:20:00
2021,M,Germany,0 days 02:28:26,Merten,Kai,61,40,M,8906.0,0 days 02:20:00
2021,M,Colombia,0 days 02:29:12,Santos,Nicolas,69,40,M,8952.0,0 days 02:20:00
2021,M,United Kingdom,0 days 02:30:06,Wallace,Alexander,79,40,M,9006.0,0 days 02:30:00
2021,M,United Kingdom,0 days 02:31:15,Christie,Allan,86,40,M,9075.0,0 days 02:30:00
