year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2003,W,Austria,0 days 02:34:36,Rabensteiner,Dagmar,94,40,W,9276.0,0 days 02:30:00
2003,W,Sweden,0 days 02:44:46,SchÃÂ¶n,Karin,305,40,W,9886.0,0 days 02:40:00
2003,W,Finland,0 days 02:47:55,LettojÃÂ¤rvi,Kaisa,415,40,W,10075.0,0 days 02:40:00
2003,W,Germany,0 days 02:57:29,Grob,Heike,995,40,W,10649.0,0 days 02:50:00
2003,W,Germany,0 days 03:01:15,KÃÂ¶ssler,Rosemarie,1404,40,W,10875.0,0 days 03:00:00
2003,W,Finland,0 days 03:02:07,Auvinen,Anja,1466,40,W,10927.0,0 days 03:00:00
2003,W,Germany,0 days 03:02:16,Burmester-Schoeler,Beate,1477,40,W,10936.0,0 days 03:00:00
2003,W,Germany,0 days 03:03:15,Jacobi,Dr.,1546,40,W,10995.0,0 days 03:00:00
2003,W,Switzerland,0 days 03:03:29,Luce,Franziska,1560,40,W,11009.0,0 days 03:00:00
2003,W,Germany,0 days 03:04:01,Martin,Cecile,1608,40,W,11041.0,0 days 03:00:00
