year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2019,M,Canada,0 days 05:04:11,Miller,Gerald,37612,80,M,18251.0,0 days 05:00:00
2019,M,Germany,0 days 05:29:03,Schellenberg,Hans-Georg,40588,80,M,19743.0,0 days 05:20:00
2019,M,Germany,0 days 05:37:47,GrÃÂ¼tzmacher,Peter,41342,80,M,20267.0,0 days 05:30:00
2019,M,Brazil,0 days 05:41:53,Miranda,Jose,41670,80,M,20513.0,0 days 05:40:00
2019,M,Denmark,0 days 05:45:23,Filtenborg,Erhard,41967,80,M,20723.0,0 days 05:40:00
2019,M,Germany,0 days 06:10:03,Mattke,Dietrich,43290,80,M,22203.0,0 days 06:10:00
2019,M,Germany,0 days 06:10:42,Pflaum,Helmut,43310,80,M,22242.0,0 days 06:10:00
2019,M,Germany,0 days 06:11:14,Montel,Herbert,43325,80,M,22274.0,0 days 06:10:00
2019,M,Germany,0 days 06:21:48,Falkner,Gerhard,43620,80,M,22908.0,0 days 06:20:00
2019,M,Germany,0 days 06:23:55,FrÃÂ¶hler,Herbert,43674,80,M,23035.0,0 days 06:20:00
