year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2021,W,New Zealand,0 days 03:17:04,Liu,Ran,2529,55,W,11824.0,0 days 03:10:00
2021,W,Germany,0 days 03:21:45,Bonnaire,Beate,2987,55,W,12105.0,0 days 03:20:00
2021,W,Canada,0 days 03:22:33,Griffin,Mary Anne,3067,55,W,12153.0,0 days 03:20:00
2021,W,United States,0 days 03:24:05,Luft,Julie,3241,55,W,12245.0,0 days 03:20:00
2021,W,Germany,0 days 03:28:16,Parsiegla,Karsta,3782,55,W,12496.0,0 days 03:20:00
2021,W,United Kingdom,0 days 03:28:22,Livingstone,Helen,3803,55,W,12502.0,0 days 03:20:00
2021,W,United States,0 days 03:30:24,Zhang,Min,4132,55,W,12624.0,0 days 03:30:00
2021,W,Japan,0 days 03:33:06,Little,Sahoko,4467,55,W,12786.0,0 days 03:30:00
2021,W,United States,0 days 03:33:27,Charnley,Noriko,4512,55,W,12807.0,0 days 03:30:00
2021,W,Germany,0 days 03:34:16,Witzel,Ricarda,4634,55,W,12856.0,0 days 03:30:00
