year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2004,W,Germany,0 days 03:06:18,Saborowski,Maria,1717,50,W,11178.0,0 days 03:00:00
2004,W,United Kingdom,0 days 03:14:11,Bould,Carole,2648,50,W,11651.0,0 days 03:10:00
2004,W,Germany,0 days 03:15:58,von Knobloch,Ursula,2878,50,W,11758.0,0 days 03:10:00
2004,W,France,0 days 03:23:34,Charpentier,Dominique,4089,50,W,12214.0,0 days 03:20:00
2004,W,Germany,0 days 03:24:34,Stendel,Ursula,4295,50,W,12274.0,0 days 03:20:00
2004,W,Germany,0 days 03:24:59,Bente,Hannelore,4374,50,W,12299.0,0 days 03:20:00
2004,W,Germany,0 days 03:25:35,Fenner-Kreutzjans,Angelika,4497,50,W,12335.0,0 days 03:20:00
2004,W,Switzerland,0 days 03:25:50,HÃÂ¤nni-Fischer,Bernadette,4550,50,W,12350.0,0 days 03:20:00
2004,W,Netherlands,0 days 03:26:36,den Oude,Gerrie,4724,50,W,12396.0,0 days 03:20:00
2004,W,Germany,0 days 03:28:36,BÃÂ¼scher,Mechthild,5238,50,W,12516.0,0 days 03:20:00
