year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2011,M,Germany,0 days 03:25:12,Wolff,Reinhard,4520,70,M,12312.0,0 days 03:20:00
2011,M,Spain,0 days 03:33:16,Molero Membrilla,JosÃÂ©,6520,70,M,12796.0,0 days 03:30:00
2011,M,Germany,0 days 03:36:49,Holst,Friedrich,7402,70,M,13009.0,0 days 03:30:00
2011,M,Germany,0 days 03:42:23,Hollmann,JÃÂ¼rgen,8862,70,M,13343.0,0 days 03:40:00
2011,M,Germany,0 days 03:42:44,Vollbracht,Heinrich,8943,70,M,13364.0,0 days 03:40:00
2011,M,Germany,0 days 03:43:12,Friedrich,Klaus,9079,70,M,13392.0,0 days 03:40:00
2011,M,Germany,0 days 03:47:16,Mueller,Herbert,10260,70,M,13636.0,0 days 03:40:00
2011,M,Germany,0 days 03:47:17,Hempel,Dieter,10263,70,M,13637.0,0 days 03:40:00
2011,M,United Kingdom,0 days 03:54:39,Schofield,Eric,12656,70,M,14079.0,0 days 03:50:00
2011,M,Netherlands,0 days 03:58:10,HappÃÂ©,Shan,14073,70,M,14290.0,0 days 03:50:00
