year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2013,M,Germany,0 days 02:23:32,Borggrefe,Fabian,42,40,M,8612.0,0 days 02:20:00
2013,M,Italy,0 days 02:24:56,AchmÃÂ¼ller,Hermann,46,40,M,8696.0,0 days 02:20:00
2013,M,France,0 days 02:30:34,Collet,Thierry,68,40,M,9034.0,0 days 02:30:00
2013,M,Spain,0 days 02:31:25,SAHUQUILLO FALCO,XAVIER,73,40,M,9085.0,0 days 02:30:00
2013,M,Latvia,0 days 02:31:39,Matisons,Aigars,79,40,M,9099.0,0 days 02:30:00
2013,M,Switzerland,0 days 02:32:06,Gehrig,Roman,84,40,M,9126.0,0 days 02:30:00
2013,M,United Kingdom,0 days 02:32:40,Bell,Paul,87,40,M,9160.0,0 days 02:30:00
2013,M,Switzerland,0 days 02:33:24,Forster,Peter,91,40,M,9204.0,0 days 02:30:00
2013,M,Iceland,0 days 02:34:17,Gudmundsson,Stefan,95,40,M,9257.0,0 days 02:30:00
2013,M,Denmark,0 days 02:34:29,Vibild,Jakob,96,40,M,9269.0,0 days 02:30:00
